Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
5,1,1,19.6,0.01423343,1.178,0,0
5,1,2,19.5,0.01417015,1.18,0,0
5,1,3,19.5,0.0141845,1.179,0,0
5,1,4,19,0.013696902,1.181,0,0
5,1,5,18.9,0.013650976,1.182,0,0
5,1,6,18.6,0.01339103,1.184,0,0
5,1,7,18.3,0.013177192,1.186,0,0
5,1,8,17.7,0.012679214,1.189,0,0
5,1,9,20.2,0.014788711,1.174,1,330
5,1,10,20.5,0.014514312,1.17,3,30
5,1,11,21.5,0.015078418,1.161,3,360
5,1,12,21.5,0.014676483,1.157,3,30
5,1,13,22.2,0.014996256,1.148,5,40
5,1,14,22,0.014511789,1.146,5,30
5,1,15,22.5,0.014930833,1.141,4,20
5,1,16,22.7,0.015145992,1.14,3,60
5,1,17,22.1,0.014591251,1.144,3,60
5,1,18,21.3,0.014231823,1.152,4,360
5,1,19,20.1,0.013555615,1.164,3,40
5,1,20,19.7,0.013477419,1.168,0,0
5,1,21,20.6,0.014781862,1.167,3,30
5,1,22,21,0.015239803,1.166,3,360
5,1,23,21,0.015449336,1.168,4,360
5,1,24,20.7,0.015114161,1.169,4,360
5,2,1,20.5,0.014853079,1.168,3,30
5,2,2,20.3,0.0147042,1.17,4,30
5,2,3,20.3,0.0147042,1.17,5,30
5,2,4,20.3,0.014719399,1.169,3,360
5,2,5,19.7,0.014201298,1.172,3,330
5,2,6,19.7,0.014201298,1.172,0,0
5,2,7,19.8,0.014544113,1.174,2,330
5,2,8,19,0.013613592,1.177,0,0
5,2,9,18.5,0.012749462,1.178,3,270
5,2,10,21,0.0148212,1.163,2,360
5,2,11,21.5,0.014901855,1.157,0,0
5,2,12,21,0.013360923,1.152,0,0
5,2,13,21.5,0.012834566,1.14,2,290
5,2,14,21.5,0.013458057,1.145,3,130
5,2,15,22,0.014821096,1.147,6,150
5,2,16,21.5,0.014307894,1.15,4,120
5,2,17,22.5,0.016397284,1.152,3,140
5,2,18,20.5,0.014157919,1.162,4,130
