Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
1,1,1,23.8,0.018474922,1.146,5,220
1,1,2,23.1,0.01780543,1.151,2,210
1,1,3,23,0.017754594,1.151,3,210
1,1,4,22.4,0.017032882,1.153,3,220
1,1,5,21.8,0.016399142,1.156,2,220
1,1,6,22,0.016565954,1.155,3,230
1,1,7,22.3,0.016715403,1.152,3,240
1,1,8,23,0.017435557,1.147,3,240
1,1,9,23.5,0.017829968,1.143,3,220
1,1,10,24.5,0.018750669,1.136,2,240
1,1,11,25.1,0.019275444,1.13,4,230
1,1,12,26,0.020511641,1.126,3,210
1,1,13,27.6,0.022621496,1.115,4,180
1,1,14,27.6,0.023048418,1.118,5,170
1,1,15,26.1,0.020580513,1.123,7,180
1,1,16,26.3,0.020846057,1.122,3,180
1,1,17,27.1,0.022151282,1.119,5,160
1,1,18,25.6,0.0205025,1.129,7,160
1,1,19,24,0.018110188,1.136,6,180
1,1,20,23.2,0.017443095,1.142,7,180
1,1,21,23,0.017369564,1.146,3,180
1,1,22,22.5,0.016509646,1.148,2,210
1,1,23,22,0.016019892,1.151,3,220
1,1,24,22.5,0.016281998,1.147,3,220
1,2,1,22.3,0.016211178,1.148,2,240
1,2,2,22.5,0.016467631,1.147,0,0
1,2,3,22.3,0.016379154,1.149,0,0
1,2,4,22.5,0.01682161,1.149,1,210
1,2,5,22,0.016162938,1.151,0,0
1,2,6,21.5,0.016064861,1.157,0,0
1,2,7,21,0.015628931,1.161,0,0
1,2,8,22.3,0.016631303,1.151,2,240
1,2,9,23.1,0.017107432,1.145,0,0
1,2,10,24,0.017714559,1.137,0,0
1,2,11,26.5,0.020856617,1.122,3,170
1,2,12,26.3,0.02056641,1.124,5,170
1,2,13,25.5,0.019525633,1.129,3,170
1,2,14,25.8,0.019698726,1.126,5,120
1,2,15,26,0.020192656,1.125,5,110
1,2,16,26.5,0.020856617,1.122,5,90
1,2,17,25.7,0.019824676,1.125,2,100
1,2,18,24.5,0.018539437,1.134,2,130
1,2,19,23.6,0.017607186,1.14,3,120
1,2,20,23.7,0.018017406,1.142,3,110
1,2,21,23.5,0.017979885,1.146,2,100
1,2,22,23,0.017417329,1.149,2,110
1,2,23,22.7,0.017153683,1.152,0,0
1,2,24,22.4,0.016829486,1.154,0,0
1,3,1,22,0.016304623,1.157,0,0
1,3,2,22.4,0.016812014,1.155,3,40
1,3,3,22.4,0.016829486,1.154,4,50
1,3,4,22.4,0.01676286,1.152,5,20
1,3,5,22.2,0.016549586,1.153,6,10
1,3,6,21.3,0.015577257,1.158,4,20
1,3,7,23,0.017628073,1.15,4,40
1,3,8,24,0.018558482,1.143,5,30
1,3,9,24.5,0.018519401,1.135,6,30
1,3,10,25.5,0.019419967,1.127,5,30
1,3,11,26.5,0.020621672,1.121,5,360
1,3,12,27.3,0.02146621,1.115,3,360
1,3,13,27.7,0.021736452,1.11,3,360
1,3,14,28,0.022340875,1.11,2,330
1,3,15,27.5,0.021578563,1.112,3,150
1,3,16,25.7,0.019781493,1.128,3,150
1,3,17,25.3,0.019399547,1.131,3,120
1,3,18,26.5,0.020409572,1.12,5,120
1,3,19,25.6,0.02020419,1.132,2,120
1,3,20,25.2,0.019549489,1.135,3,120
1,3,21,25.1,0.019404037,1.137,0,0
1,3,22,25,0.019259584,1.138,2,160
1,3,23,24.4,0.018849552,1.146,3,120
1,3,24,24.1,0.018578988,1.148,0,0
1,4,1,23.8,0.018314221,1.15,1,20
1,4,2,24,0.018669496,1.147,5,30
1,4,3,24,0.018688813,1.146,8,40
1,4,4,23.3,0.017752961,1.147,7,40
1,4,5,23.1,0.017486434,1.148,8,30
1,4,6,23.4,0.017866103,1.146,7,30
1,4,7,23.5,0.017834549,1.146,7,30
1,4,8,24.5,0.018921996,1.139,5,50
1,4,9,25,0.01930067,1.136,4,30
1,4,10,25.6,0.019780262,1.129,6,40
1,4,11,25.8,0.019487111,1.124,7,30
1,4,12,25.5,0.018553712,1.122,6,40
1,4,13,27.3,0.021168778,1.113,6,40
1,4,14,28.5,0.023533616,1.108,6,50
1,4,15,28.7,0.02422118,1.11,6,20
1,4,16,27.3,0.022341593,1.119,7,20
1,4,17,26,0.020532048,1.127,6,20
1,4,18,26.7,0.021297452,1.122,4,60
1,4,19,25.5,0.019949237,1.132,3,360
1,4,20,24.5,0.019113548,1.142,3,40
1,4,21,24,0.01830854,1.144,3,30
1,4,22,24,0.018269971,1.146,3,60
1,4,23,23.5,0.017694116,1.149,3,50
1,4,24,24,0.018269971,1.146,5,30
1,5,1,24,0.018269971,1.146,3,30
1,5,2,23.5,0.017694116,1.149,4,30
1,5,3,24,0.018500429,1.146,3,40
1,5,4,23.5,0.017961103,1.147,5,50
1,5,5,23.5,0.017961103,1.147,4,50
1,5,6,23,0.017399138,1.15,4,30
1,5,7,24,0.01851974,1.145,6,30
1,5,8,24,0.018097496,1.142,7,30
1,5,9,24.3,0.018451398,1.14,10,30
1,5,10,25,0.018982878,1.132,8,20
1,5,11,25.6,0.019441571,1.127,10,30
1,5,12,26.4,0.020253098,1.122,8,20
1,5,13,27,0.020812733,1.116,7,50
