Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
7,1,1,15.2,0.01050998,1.209,0,0
7,1,2,14.7,0.010206172,1.212,1,270
7,1,3,14.2,0.009881058,1.213,0,0
7,1,4,13.8,0.00970215,1.216,0,0
7,1,5,13.5,0.009551312,1.218,0,0
7,1,6,12.8,0.009157388,1.222,0,0
7,1,7,12.1,0.008698941,1.226,0,0
7,1,8,12.5,0.008894151,1.223,0,0
7,1,9,13.5,0.009541754,1.219,0,0
7,1,10,15.7,0.010865347,1.206,0,0
7,1,11,17.5,0.011184934,1.189,0,0
7,1,12,18.5,0.011798636,1.182,0,0
7,1,13,18.5,0.011785413,1.183,0,0
7,1,14,20,0.01313624,1.172,0,0
7,1,15,19,0.012877839,1.181,2,120
7,1,16,18.7,0.012618327,1.183,3,160
7,1,17,18.6,0.012464525,1.186,2,150
7,1,18,18,0.012017094,1.188,3,130
7,1,19,18.2,0.012639732,1.191,2,140
7,1,20,17.5,0.012138538,1.196,2,240
7,1,21,17.7,0.012037669,1.195,6,230
7,1,22,17.6,0.011459527,1.191,5,180
7,1,23,17.8,0.011857024,1.193,5,210
7,1,24,17.6,0.0116543,1.194,5,210
7,2,1,17.8,0.012064529,1.195,8,220
7,2,2,17.6,0.01190317,1.196,8,220
7,2,3,17.2,0.011573889,1.199,8,220
7,2,4,16.6,0.01108245,1.201,5,230
7,2,5,16.6,0.011206656,1.202,6,220
7,2,6,16.4,0.011097512,1.204,5,220
7,2,7,16,0.010801609,1.206,5,220
7,2,8,15.7,0.010779937,1.21,5,230
7,2,9,15.8,0.01088231,1.211,7,220
7,2,10,15.7,0.010788498,1.214,4,210
7,2,11,15.7,0.010747135,1.214,5,240
7,2,12,16.1,0.011025727,1.213,4,220
7,2,13,16.4,0.010762056,1.206,3,240
7,2,14,16.2,0.010418648,1.204,4,230
7,2,15,16.8,0.010909653,1.201,3,230
7,2,16,16.2,0.010956116,1.209,3,210
7,2,17,16.1,0.010303933,1.205,2,210
7,2,18,16.1,0.010510454,1.206,3,220
7,2,19,15.6,0.010108256,1.209,3,230
7,2,20,15.5,0.010119866,1.21,3,210
7,2,21,15.1,0.009829768,1.213,4,230
7,2,22,15.1,0.010159822,1.216,3,230
7,2,23,14.5,0.009546444,1.218,2,230
7,2,24,14.5,0.009752505,1.219,0,0
7,3,1,15,0.010297369,1.218,1,230
7,3,2,15.2,0.01060097,1.219,0,0
7,3,3,15.1,0.010572933,1.219,0,0
7,3,4,14.7,0.010268346,1.22,0,0
7,3,5,14.5,0.010133873,1.221,0,0
7,3,6,14.5,0.010175158,1.222,0,0
7,3,7,14.8,0.010377491,1.22,0,0
7,3,8,15,0.010503955,1.22,0,0
7,3,9,15.1,0.010366302,1.218,0,0
7,3,10,15.8,0.010973504,1.216,0,0
7,3,11,16,0.011118317,1.215,0,0
7,3,12,16.2,0.011253594,1.215,2,220
7,3,13,16.5,0.011446376,1.212,2,190
7,3,14,16.7,0.011608839,1.21,2,160
7,3,15,16.3,0.011267199,1.211,2,170
7,3,16,16.3,0.011267199,1.211,2,170
7,3,17,15.5,0.010450217,1.213,2,180
7,3,18,15.6,0.010717097,1.215,2,200
7,3,19,15,0.010297369,1.218,0,0
7,3,20,15,0.010286972,1.22,1,230
7,3,21,15,0.010493554,1.221,0,0
7,3,22,15,0.010286972,1.22,3,220
7,3,23,15,0.010286972,1.22,2,210
7,3,24,15,0.010286972,1.22,1,220
7,4,1,15,0.010276596,1.221,3,210
7,4,2,15,0.010276596,1.221,3,230
7,4,3,14.5,0.009526367,1.22,3,230
7,4,4,14.5,0.009536396,1.219,3,240
7,4,5,14.5,0.009536396,1.219,5,230
7,4,6,14.5,0.009742453,1.221,5,230
7,4,7,14.5,0.009938625,1.224,5,230
7,4,8,14.5,0.009938625,1.224,5,210
7,4,9,14.7,0.010072622,1.222,5,210
7,4,10,15,0.010070169,1.219,3,230
7,4,11,15.5,0.010489925,1.218,5,210
7,4,12,16,0.010971957,1.216,3,180
7,4,13,16.5,0.011340585,1.214,3,240
7,4,14,16.5,0.011186314,1.211,3,210
7,4,15,16.7,0.011419753,1.211,3,150
7,4,16,16.3,0.010883266,1.21,3,180
7,4,17,16.3,0.011007411,1.211,0,0
7,4,18,16.5,0.011363483,1.211,0,0
7,4,19,15.6,0.010736838,1.218,3,240
7,4,20,15.2,0.010538573,1.221,1,230
7,4,21,15.2,0.010621259,1.221,0,0
7,4,22,15.3,0.010649556,1.22,0,0
7,4,23,15,0.010441847,1.222,0,0
7,4,24,14.2,0.009689525,1.226,0,0
7,5,1,14.8,0.010212571,1.224,0,0
7,5,2,15,0.010307543,1.222,0,0
7,5,3,13.7,0.009386499,1.226,0,0
7,5,4,12.7,0.008810234,1.232,0,0
7,5,5,13.3,0.00921745,1.229,0,0
7,5,6,13,0.009041856,1.23,1,250
7,5,7,13.9,0.009688929,1.225,0,0
7,5,8,14.4,0.0100885,1.225,0,0
7,5,9,14.7,0.010247938,1.223,0,0
7,5,10,15,0.010163095,1.219,0,0
7,5,11,15.7,0.010405565,1.213,0,0
7,5,12,16.6,0.01065221,1.204,1,20
7,5,13,17.4,0.011972997,1.205,0,0
7,5,14,16.6,0.011160212,1.207,2,350
7,5,15,16.2,0.010997502,1.209,1,280
7,5,16,16,0.010903348,1.209,1,40
7,5,17,16.6,0.011307645,1.206,0,0
7,5,18,16.6,0.011277844,1.204,0,0
7,5,19,16,0.010914522,1.208,1,90
7,5,20,15.4,0.010442387,1.211,0,0
7,5,21,15,0.010318224,1.216,0,0
7,5,22,15,0.010400843,1.217,0,0
7,5,23,14.9,0.010373467,1.217,0,0
7,5,24,14.6,0.010169789,1.219,0,0
7,6,1,14.5,0.010195377,1.219,0,0
7,6,2,14.4,0.010128589,1.22,0,0
7,6,3,14.4,0.010128589,1.22,0,0
7,6,4,14.6,0.010272768,1.217,0,0
7,6,5,14.5,0.010215677,1.217,0,0
7,6,6,14.4,0.010148753,1.217,0,0
7,6,7,14.7,0.010350712,1.216,0,0
7,6,8,14.2,0.010016084,1.218,0,0
7,6,9,14.4,0.010014843,1.217,0,0
7,6,10,15,0.010132712,1.212,2,330
7,6,11,16.5,0.011006989,1.202,3,360
7,6,12,17,0.011016083,1.196,3,30
7,6,13,17.5,0.011586751,1.193,3,30
7,6,14,18.1,0.012086692,1.189,4,90
7,6,15,17.5,0.01078373,1.184,5,60
7,6,16,17.5,0.010990464,1.186,4,30
7,6,17,17.1,0.011307634,1.192,5,40
7,6,18,16.5,0.010722584,1.194,5,30
7,6,19,16.5,0.011166013,1.199,4,30
7,6,20,16,0.01075261,1.202,3,30
7,6,21,16,0.01066992,1.201,2,30
7,6,22,16.2,0.010971451,1.202,0,0
7,6,23,16,0.011143912,1.207,1,330
7,6,24,16,0.011185325,1.208,0,0
7,7,1,15.7,0.011061233,1.209,0,0
7,7,2,15.6,0.010989351,1.209,2,30
7,7,3,16.6,0.011685929,1.204,0,0
7,7,4,16.2,0.011438431,1.205,2,30
7,7,5,15.9,0.011217459,1.207,2,30
7,7,6,15.4,0.010650879,1.208,3,360
7,7,7,15,0.010370725,1.21,5,360
7,7,8,16.6,0.011656177,1.202,3,360
7,7,9,16.5,0.011580361,1.203,3,360
7,7,10,17,0.012034887,1.202,2,360
7,7,11,17,0.011815329,1.201,2,360
7,7,12,17,0.011815329,1.201,3,340
7,7,13,17.5,0.012416988,1.2,2,350
7,7,14,17.5,0.012416988,1.2,5,10
7,7,15,18.5,0.012642343,1.187,3,30
7,7,16,18,0.012029957,1.187,5,30
7,7,17,17.7,0.011784988,1.189,6,360
7,7,18,17.3,0.01146491,1.191,6,30
7,7,19,17.1,0.011526936,1.192,4,20
7,7,20,17.5,0.012134388,1.193,5,20
7,7,21,17.5,0.012134388,1.193,6,360
7,7,22,17.2,0.01180059,1.195,4,350
7,7,23,17.1,0.011709949,1.197,5,350
7,7,24,17.1,0.011709949,1.197,4,340
7,8,1,17.1,0.011709949,1.197,4,340
7,8,2,17,0.01164403,1.196,4,340
7,8,3,17,0.011726973,1.197,6,350
7,8,4,17,0.011780535,1.196,0,0
7,8,5,16.9,0.011744304,1.197,3,330
7,8,6,16.4,0.011279561,1.199,3,330
7,8,7,16.2,0.011129931,1.2,4,360
7,8,8,16.3,0.011328789,1.2,3,30
7,8,9,16.4,0.011320985,1.199,3,20
7,8,10,17.2,0.011593241,1.193,3,30
7,8,11,17.4,0.011295681,1.188,4,30
7,8,12,18.4,0.011961343,1.18,3,360
7,8,13,18.8,0.011832389,1.176,3,350
7,8,14,19.2,0.012374447,1.172,3,360
7,8,15,19.3,0.0124355,1.17,3,360
7,8,16,19.5,0.012738913,1.17,2,360
7,8,17,19,0.012378798,1.174,1,10
7,8,18,19.2,0.01322017,1.178,0,0
7,8,19,18.1,0.012567031,1.186,2,180
7,8,20,17.6,0.012352074,1.192,1,180
7,8,21,17.5,0.012271511,1.192,1,170
7,8,22,17.2,0.012186449,1.197,0,0
7,8,23,16,0.011271866,1.203,0,0
7,8,24,16.5,0.011686671,1.201,0,0
7,9,1,17,0.012071077,1.198,0,0
7,9,2,17.2,0.01219872,1.195,1,360
7,9,3,17.1,0.012119964,1.196,3,30
7,9,4,17,0.012083188,1.197,2,360
7,9,5,16.7,0.01182137,1.197,3,20
7,9,6,16.7,0.011862867,1.197,3,30
7,9,7,16.8,0.011939903,1.197,3,30
7,9,8,16.9,0.012017388,1.196,5,360
7,9,9,17,0.011887755,1.194,3,360
7,9,10,17.2,0.011630017,1.19,4,10
7,9,11,18,0.012068702,1.183,6,20
7,9,12,18.5,0.012280115,1.179,5,20
7,9,13,19.5,0.013154919,1.173,5,20
7,9,14,19.4,0.012469941,1.167,4,30
7,9,15,19.6,0.012249229,1.161,4,10
7,9,16,20,0.012838196,1.16,5,30
7,9,17,19.6,0.012886768,1.165,5,30
7,9,18,19.2,0.012735484,1.169,4,30
7,9,19,17.5,0.011492018,1.181,0,0
7,9,20,17.7,0.011861199,1.182,3,360
7,9,21,18.5,0.012749462,1.178,0,0
7,9,22,17.5,0.012114135,1.186,3,360
7,9,23,17.5,0.012101526,1.187,3,20
7,9,24,17,0.011704666,1.19,5,50
7,10,1,18,0.012717972,1.186,3,30
7,10,2,17.5,0.012309198,1.189,5,360
7,10,3,17.5,0.012321811,1.188,4,30
7,10,4,17.5,0.012309198,1.189,4,350
7,10,5,17.5,0.012321811,1.188,3,350
7,10,6,17.5,0.01252964,1.189,4,360
7,10,7,17.5,0.01252964,1.189,0,0
7,10,8,16.7,0.011857207,1.193,3,20
7,10,9,16.6,0.011727017,1.195,3,20
7,10,10,18,0.012094662,1.181,3,30
7,10,11,19.3,0.012090175,1.165,2,360
7,10,12,19.8,0.01171192,1.156,0,0
7,10,13,20,0.011564348,1.153,3,30
7,10,14,19.7,0.010973736,1.151,2,360
7,10,15,20.3,0.011998023,1.15,6,30
7,10,16,20.3,0.011806043,1.147,5,30
7,10,17,19,0.010008229,1.149,5,30
7,10,18,18.3,0.009738868,1.156,3,360
7,10,19,19.4,0.012623086,1.165,3,10
7,10,20,19.2,0.0132348,1.173,2,360
7,10,21,18.6,0.012904791,1.179,3,360
7,10,22,18.2,0.01239901,1.18,4,340
7,10,23,17.5,0.012143048,1.187,0,0
7,10,24,16.5,0.011484903,1.194,0,0
