Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
9,1,1,18.5,0.013179205,1.18,5,10
9,1,2,18.3,0.013008922,1.181,5,10
9,1,3,18,0.012757152,1.182,5,30
9,1,4,18,0.012770265,1.181,5,20
9,1,5,17.8,0.012604655,1.182,4,360
9,1,6,17.5,0.012359804,1.184,5,360
9,1,7,17.5,0.012359804,1.184,5,20
9,1,8,18,0.012757152,1.182,4,360
9,1,9,18,0.012757152,1.182,4,30
9,1,10,18.3,0.012787491,1.18,6,360
9,1,11,19,0.013266179,1.175,8,30
9,1,12,19.3,0.013213262,1.17,9,360
9,1,13,19.5,0.012964275,1.163,9,360
9,1,14,19.7,0.012938501,1.16,8,30
9,1,15,20,0.013105771,1.156,10,360
9,1,16,20,0.01300762,1.157,1,360
9,1,17,19.5,0.011594929,1.153,3,180
9,1,18,19.5,0.011884843,1.155,8,210
9,1,19,19,0.01201925,1.166,9,210
9,1,20,18.6,0.011742012,1.17,5,230
9,1,21,18,0.011100213,1.173,7,230
9,1,22,17.5,0.010639526,1.177,5,220
9,1,23,18.1,0.011252702,1.175,7,220
9,1,24,18,0.011211355,1.175,2,230
9,2,1,18.1,0.011542537,1.177,2,240
9,2,2,18.9,0.012596194,1.175,0,0
9,2,3,16.7,0.011170153,1.19,0,0
9,2,4,16.5,0.011526352,1.194,0,0
9,2,5,15.5,0.010746446,1.2,2,210
9,2,6,14.9,0.010406291,1.204,0,0
9,2,7,15.6,0.010983857,1.2,2,350
9,2,8,15.5,0.010498444,1.198,3,360
9,2,9,16.3,0.011126684,1.193,2,10
9,2,10,17.3,0.01152671,1.185,3,360
9,2,11,18.1,0.011335481,1.175,4,360
9,2,12,19.2,0.011877113,1.165,3,20
9,2,13,19.5,0.011951607,1.16,3,30
9,2,14,20,0.012630437,1.158,4,30
9,2,15,20.1,0.01275339,1.155,3,30
9,2,16,20.3,0.013149339,1.156,5,30
9,2,17,20.5,0.013339626,1.154,3,30
9,2,18,19.3,0.012188411,1.161,3,30
9,2,19,19.5,0.013726762,1.171,2,230
9,2,20,18,0.012328354,1.18,1,190
9,2,21,17.5,0.012114135,1.186,2,170
9,2,22,17.5,0.012309198,1.189,1,130
9,2,23,17.2,0.012194141,1.191,0,0
9,2,24,17.3,0.01234427,1.193,0,0
9,3,1,17.6,0.012597884,1.19,2,40
9,3,2,17.6,0.012556297,1.19,2,20
9,3,3,18.1,0.012939133,1.185,2,360
9,3,4,18.4,0.013150273,1.183,3,10
9,3,5,18.4,0.013163682,1.182,1,360
9,3,6,18.2,0.013036148,1.183,0,0
9,3,7,17.8,0.012703568,1.186,3,360
9,3,8,17.8,0.012524329,1.186,2,30
9,3,9,18,0.012606231,1.184,1,350
9,3,10,18.5,0.012944007,1.18,2,360
9,3,11,19.5,0.013406139,1.171,5,20
9,3,12,19.5,0.013031403,1.169,6,360
9,3,13,20.7,0.014126304,1.16,5,340
9,3,14,21,0.014017534,1.154,4,360
9,3,15,21,0.01445084,1.156,5,360
9,3,16,20.7,0.014575164,1.161,5,10
9,3,17,20,0.013909095,1.165,5,360
9,3,18,19.5,0.013851919,1.172,5,360
9,3,19,19.5,0.014060637,1.174,7,20
9,3,20,19.5,0.014144168,1.175,8,30
9,3,21,19.5,0.014046205,1.175,5,360
9,3,22,19.5,0.014031802,1.176,4,30
9,3,23,19.3,0.013851816,1.177,5,360
9,3,24,19.3,0.013851816,1.177,2,360
9,4,1,19.3,0.01397705,1.178,5,360
9,4,2,19,0.013710819,1.18,3,360
9,4,3,19,0.013752544,1.18,4,30
9,4,4,19,0.013808222,1.18,3,360
9,4,5,19,0.013822198,1.178,5,360
9,4,6,19,0.013822198,1.178,8,30
9,4,7,18.7,0.013490829,1.182,3,30
9,4,8,18.5,0.013263702,1.184,3,360
9,4,9,18.7,0.013477181,1.183,2,360
9,4,10,19.3,0.014046377,1.18,4,360
9,4,11,19,0.013446685,1.179,4,360
9,4,12,19.7,0.013823553,1.173,3,360
9,4,13,19.8,0.013888093,1.171,3,10
9,4,14,20.5,0.014226043,1.164,4,360
9,4,15,20.7,0.014141875,1.159,4,10
9,4,16,21,0.014659775,1.158,4,360
9,4,17,20.4,0.014369988,1.163,3,350
9,4,18,19.5,0.013866376,1.171,3,340
9,4,19,18.8,0.013368794,1.176,3,330
9,4,20,18.8,0.013618946,1.178,3,360
9,4,21,18.7,0.013559911,1.18,4,20
9,4,22,18.5,0.013374024,1.182,4,330
9,4,23,18.3,0.013203813,1.184,5,360
9,4,24,18.1,0.013035554,1.185,7,20
9,5,1,18,0.012939085,1.186,0,0
9,5,2,17.8,0.01278678,1.186,1,340
9,5,3,17.3,0.012381629,1.189,0,0
9,5,4,16.9,0.012065857,1.191,0,0
9,5,5,17.4,0.012461724,1.189,2,360
9,5,6,18.5,0.013374024,1.182,5,360
9,5,7,18.7,0.01346281,1.181,4,360
9,5,8,18.5,0.013152189,1.182,4,360
9,5,9,19.2,0.013554046,1.176,3,30
9,5,10,19.4,0.013495884,1.176,0,0
9,5,11,19.9,0.013783976,1.172,4,360
9,5,12,20.2,0.01374438,1.166,3,20
9,5,13,20.9,0.014514034,1.162,2,20
9,5,14,21,0.014419056,1.159,4,360
9,5,15,21,0.014351403,1.157,4,10
9,5,16,20.7,0.014366245,1.16,3,20
9,5,17,20.7,0.015077199,1.165,3,30
9,5,18,19.8,0.014293292,1.172,4,20
9,5,19,19,0.013738737,1.178,4,20
9,5,20,19,0.013599622,1.178,5,20
9,5,21,18.5,0.013152189,1.182,4,20
9,5,22,18.5,0.013152189,1.182,4,360
9,5,23,18,0.012731006,1.185,3,20
9,5,24,18,0.012731006,1.185,3,360
9,6,1,18,0.012939085,1.186,3,30
9,6,2,18,0.012939085,1.186,5,30
9,6,3,18,0.012939085,1.186,3,30
9,6,4,18,0.012939085,1.186,0,0
9,6,5,17,0.011924297,1.19,5,10
9,6,6,17,0.011924297,1.19,5,360
9,6,7,17,0.011924297,1.19,4,340
9,6,8,18,0.012717972,1.186,2,340
9,6,9,18,0.012551622,1.185,3,340
9,6,10,18,0.012523078,1.183,2,360
9,6,11,19,0.013168948,1.176,4,30
9,6,12,19.3,0.013240674,1.171,4,360
9,6,13,19.5,0.01330997,1.168,6,10
9,6,14,19.5,0.01311624,1.165,4,20
9,6,15,19.5,0.013130707,1.164,6,10
9,6,16,19.8,0.013529961,1.163,3,10
9,6,17,20.5,0.014105284,1.159,1,70
9,6,18,19.3,0.013408422,1.169,4,10
9,6,19,18.5,0.012776512,1.175,4,10
9,6,20,18.5,0.012984557,1.177,5,360
9,6,21,17.1,0.011707971,1.184,6,10
9,6,22,16.7,0.011300838,1.186,5,360
9,6,23,16.2,0.010950838,1.191,6,360
9,6,24,16.2,0.010950838,1.191,6,20
9,7,1,17,0.011729092,1.188,2,300
9,7,2,16.2,0.010950838,1.191,0,0
9,7,3,16.2,0.010950838,1.191,0,0
9,7,4,16.5,0.011561851,1.191,0,0
9,7,5,16.5,0.011561851,1.191,0,0
9,7,6,16.8,0.011970763,1.189,0,0
9,7,7,16.8,0.012012274,1.19,0,0
9,7,8,17.5,0.012554952,1.187,2,360
9,7,9,17.5,0.012554952,1.187,0,0
9,7,10,18.5,0.013374024,1.182,3,360
9,7,11,19,0.013516224,1.177,3,30
